,Unnamed: 0,2016,2017,2018,2019,Info_Label,Yahoo_Ticker,SGX_TradingCode,SGX_RIC,SGX_CoyName,Statement_Type,Sector
0,0,,,,,researchDevelopment,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
1,1,,,,,effectOfAccountingCharges,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
2,2,47230000.0,39365000.0,37757000.0,13542000.0,incomeBeforeTax,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
3,3,,,,,minorityInterest,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
4,4,39071000.0,31360000.0,29758000.0,7988000.0,netIncome,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
5,5,54535000.0,54886000.0,56544000.0,55189000.0,sellingGeneralAdministrative,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
6,6,94335000.0,105533000.0,87133000.0,74321000.0,grossProfit,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
7,7,36757000.0,47515000.0,25401000.0,14079000.0,ebit,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
8,8,36757000.0,47515000.0,25401000.0,14079000.0,operatingIncome,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
9,9,3043000.0,3132000.0,5188000.0,5053000.0,otherOperatingExpenses,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
10,10,-3525000.0,-3346000.0,-4030000.0,-5203000.0,interestExpense,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
11,11,,,,,extraordinaryItems,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
12,12,,,,,nonRecurring,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
13,13,,,,,otherItems,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
14,14,8159000.0,8005000.0,7999000.0,5554000.0,incomeTaxExpense,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
15,15,684457000.0,724545000.0,726795000.0,673791000.0,totalRevenue,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
16,16,647700000.0,677030000.0,701394000.0,659712000.0,totalOperatingExpenses,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
17,17,590122000.0,619012000.0,639662000.0,599470000.0,costOfRevenue,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
18,18,10473000.0,-8150000.0,12356000.0,-537000.0,totalOtherIncomeExpenseNet,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
19,19,,,,,discontinuedOperations,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
20,20,39071000.0,31360000.0,29758000.0,7988000.0,netIncomeFromContinuingOps,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
21,21,39071000.0,31360000.0,29758000.0,7988000.0,netIncomeApplicableToCommonShares,BHQ.SI,BHQ,SUND.SI,Sunningdale_Tech,Income_Statement,Industrial Conglomerates
22,0,,,,,researchDevelopment,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
23,1,,,,,effectOfAccountingCharges,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
24,2,6113000000.0,9165000000.0,5237000000.0,4571000000.0,incomeBeforeTax,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
25,3,24064000000.0,27677000000.0,28342000000.0,29903000000.0,minorityInterest,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
26,4,2741000000.0,4305000000.0,1827000000.0,2178000000.0,netIncome,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
27,5,5090000000.0,5506000000.0,5741000000.0,5692000000.0,sellingGeneralAdministrative,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
28,6,7631000000.0,8056000000.0,9055000000.0,8849000000.0,grossProfit,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
29,7,2889000000.0,3257000000.0,2988000000.0,3774000000.0,ebit,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
30,8,2889000000.0,3257000000.0,2988000000.0,3774000000.0,operatingIncome,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
31,9,-348000000.0,-707000000.0,326000000.0,-617000000.0,otherOperatingExpenses,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
32,10,-192000000.0,-221000000.0,-536000000.0,-614000000.0,interestExpense,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
33,11,,,,,extraordinaryItems,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
34,12,,,,,nonRecurring,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
35,13,,,,,otherItems,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
36,14,610000000.0,749000000.0,906000000.0,920000000.0,incomeTaxExpense,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
37,15,29552000000.0,30848000000.0,34094000000.0,32665000000.0,totalRevenue,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
38,16,26663000000.0,27591000000.0,31106000000.0,28891000000.0,totalOperatingExpenses,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
39,17,21921000000.0,22792000000.0,25039000000.0,23816000000.0,costOfRevenue,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
40,18,3224000000.0,5908000000.0,2249000000.0,797000000.0,totalOtherIncomeExpenseNet,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
41,19,,,,,discontinuedOperations,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
42,20,5503000000.0,8416000000.0,4331000000.0,3651000000.0,netIncomeFromContinuingOps,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
43,21,2741000000.0,4305000000.0,1827000000.0,2178000000.0,netIncomeApplicableToCommonShares,J37.SI,J37,JSH.SI,JSH_USD,Income_Statement,Industrial Conglomerates
44,0,,,,,researchDevelopment,532.SI,532,DISA.SI,DISA,Income_Statement,Industrial Conglomerates
