Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
3Cnergy,502,CNER.SI,79.743,0.12,,,Real Estate,62,23.81,420,420,333.33,-32085.83,-59.58,,75.4,-54.89,0.4
8Telecom,AZG,ETEL.SI,7.902,0.802,,,Technology Equipment,57,0,0,0,115.63,-65.84,,,,-26.76,
A-Smart,BQC,ASMA.SI,39.905,7.119,,,Industrial & Commercial Services,28,0,-10.14,1.64,-15.07,-28.07,-15.77,,8.23,0.47,5.89
A-Sonic Aero,BTJ,ASON.SI,12.281,290.416,3.42,4.76,Transportation,61,-8.7,-33.33,-39.13,0,1.52,8.81,1.73,19.55,-6.33,0.33
AA,5GZ,AAGH.SI,14.247,23.9,,,Technology Equipment,54,0,-11.11,-11.11,14.29,-24.81,-10.26,,7.78,21.98,0.56
ABR,533,ABRH.SI,116.578,121.133,62.17,2.59,Food & Beverages,67,-10.77,-17.14,-17.14,-27.5,1.99,2.07,2.83,0.73,-3.1,1.6
Abterra,L5I,ABTR.SI,13.699,107.741,,,Energy - Fossil Fuels,-6,,,,,8.09,6.48,1.57,0.95,-67.62,
Abundance Intl,541,ABUN.SI,16.069,510.9,,,Industrial & Commercial Services,71,127.27,150,177.78,-21.88,-0.69,-12.58,,35.35,-12.8,
Accordia Golf Tr,ADQU,ACCO.SI,664.969,674.478,,7.83,Cyclical Consumer Services,77.7,6.14,-1.63,-13.57,3.42,-23.69,-16.47,,57.72,2.37,0.54
Accrelist Ltd,QZG,ACCR.SI,9.212,160.253,,,Technology Equipment,,10,-28.26,-58.75,-45,-1.14,-3.27,5.92,27.22,-0.39,0.69
Ace Achieve Info,A75,ACEA.SI,5.976,36.661,,,Technology Equipment,42,,,,,2.42,0.99,3.95,39.82,-33.16,0.13
Acesian Partners,5FW,ACES.SI,3.489,12.252,,,Industrial & Commercial Services,46,0,-46.15,-36.36,-56.25,-58.56,-74.24,,3.71,-40.36,0.45
Acma,AYV,ACMA.SI,4.281,90.408,,,Industrial Goods,62,-0.98,-0.98,-2.88,-46.84,-12.81,-49.73,,65.29,-10.15,0.35
Acromec,43F,ACRO.SI,6.928,31.564,,,Industrial & Commercial Services,46,-33.33,-16.67,-36.71,-46.81,-1.35,-6.59,24.69,49.23,0.39,2.28
Addvalue Tech,A31,AVAU.SI,48.631,6.593,,,Technology Equipment,46,18.18,0,4,18.18,-68.94,-63.67,,59.31,34.25,6.16
Advanced,BLZ,ADVA.SI,6.211,91.438,,,Energy - Fossil Fuels,61,20,-57.14,-53.13,-60.78,-3.19,-5.16,,15.21,48.05,0.34
Advanced Systems,5TY,ADSA.SI,22.324,13.711,,,Technology Equipment,51,0,0,0,0,-28.85,-100.52,,35.85,-15.52,3.65
Advancer Global,43Q,ADVN.SI,32.807,70.944,69.52,3.08,Industrial & Commercial Services,65,0,0,-16.13,-23.53,0.62,1.08,11.55,2.71,5.44,1.26
Adventus,5EF,ADVE.SI,11.704,0,,,Industrial Goods,50,20,0,50,50,,-5.68,,0,,1.12
AEI,AWG,AEIC.SI,51.959,9.076,,,Mineral Resources,61,0,0.56,-6.25,42.86,-64.51,-12.02,,5.23,-3.62,0.9
AEM,AWX,AEM.SI,845.172,323.13,15.82,1.67,Technology Equipment,79,24.9,43.66,70,253.76,16.33,47.14,14.36,0.29,23.18,2.48
AF Global,L38,AFGL.SI,110.842,28.266,,4.76,Cyclical Consumer Services,73,-8.7,-30,-27.08,-26.06,-1.31,-0.63,31.31,16.51,-16.59,0.4
AGV,1A4,AGVG.SI,4.091,12.197,,,Mineral Resources,44,10,0,-26.67,100,-44.53,,,,291.56,
AIMS APAC Reit,O5RU,AIMA.SI,897.461,118.86,10.36,6.29,Real Estate,82.9,10.43,-9.29,-11.19,-8.63,71.95,9.08,,53.57,0.66,1.06
AIMS Property,BVP,APW.AX,55.977,11.336,5.66,1.61,Real Estate,,0.8,-11.31,-14.92,-15.77,87.23,8.93,,0,-16.82,0.66
AliPictures HKD,S91,ALIB.SI,25212.693,3119.285,,,Cyclical Consumer Services,,0,0,-10.69,-24.03,-40.55,-8,,4.91,-5.25,
Alita Resources,40F,ALIT.SI,115.161,68.226,,,Mineral Resources,48,0,0,0,-55.68,-69.42,-43.51,,15,,6.13
Alliance HC,MIJ,ALLA.SI,40.954,40.302,28.22,,Healthcare Services,,0,-1.01,45.93,,4.35,,12.76,,,
Allied Tech,A13,ALLT.SI,19.474,129.84,,,Industrial Goods,30,0,0,0,0,-22.35,-33.15,,13.36,4.27,0.19
Alpha Energy,5TS,ALPH.SI,72.178,0.588,,,Energy - Fossil Fuels,56,0,0,0,-8.05,-23280.45,-265.33,,14.81,,0.57
Amara,A34,AMRA.SI,207.697,105.427,7.39,2.78,Cyclical Consumer Services,73,0,-11.11,-20.88,-22.58,26.73,7.02,5.29,83.9,1.22,0.59
Amcorp Global,S9B,AMCO.SI,79.991,81.992,,2.23,Real Estate,89,0,0.56,19.33,5.29,-39.1,-23.19,,155.98,-30.67,
AMOS,RF7,AMOS.SI,51.947,131.549,,,Industrial Goods,51,0,-42.86,0,-42.86,-25.52,-30.44,,41.92,33.52,0.87
Amplefield Ltd,AOF,AMPL.SI,29.72,7.137,19.53,,Real Estate,62,3.13,-25,26.92,106.25,22.5,2.34,18.01,4.92,-35.66,0.38
AMTD IB OV,HKB,,,,,,,,,,,,,,,,,
AnAn Intl,Y35,ANAN.SI,12.7,2340.01,,,Energy - Fossil Fuels,32,-25,50,50,0,-0.04,-3.65,1.23,95.29,-16.21,0.22
Anchor Resources,43E,ANCH.SI,6.221,1.531,,,Mineral Resources,57,-16.67,-37.5,-28.57,-44.44,-336.7,-188.58,,235.18,150.03,6.29
Anchun Intl,BTX,ANIH.SI,12.625,33.921,5.44,9.67,Industrial Goods,77,13.64,4.17,-5.66,31.58,6.79,4.01,2.85,0,53.77,0.16
AnnAik,A52,AAIK.SI,20.491,52.299,8.63,4.29,Mineral Resources,49,1.45,16.67,9.38,,6.65,3.75,3.26,58.67,-7.87,0.57
Annica,5AL,ANHL.SI,16.675,9.081,,,Energy - Fossil Fuels,44,0,0,0,0,-4.04,-10.63,,36.7,49.43,3.82
Aoxin Q & M,1D4,AOXI.SI,45.026,27.992,,,Healthcare Services,56,-11.94,-21.33,-34.44,-37.89,-9.58,-5.63,54.67,0.38,,1.8
AP Oil,5AU,AOIL.SI,26.16,62.841,11.14,4.72,Chemicals,67,4.61,-9.14,-8.09,-20.1,3.74,4.22,6.89,2.49,-19.82,0.57
APAC Realty,CLN,APAC.SI,127.871,365.112,9.13,5.56,Real Estate,80,4.35,-22.58,-28,-28.71,3.8,9.71,7.52,40.2,-13.06,1.1
ARA HTrust USD,XZL,ARAU.SI,218.427,,,,Real Estate,,-9.41,-48.67,-54.97,-55.49,,,,,,
ARA LOGOS Log Tr,K2LU,ARAL.SI,562.204,113.555,,8.45,Real Estate,79.8,-4.63,-24.82,-27.97,-29.45,-6.74,-1.69,,57.71,-6.57,0.92
